released_or_generated_file	description	upstream_stage	upstream_original_script	ported_script_location	upstream_inputs	used_by	regenerated_by_count_level_pipeline	notes
data/derived/frozen_gene_weights.tsv	Released canonical frozen IMRS coefficient table	03_modeling	07_weight_estimation.R	scripts/portable_full_pipeline/original_ported/03_modeling/07_weight_estimation.R	core_gene_set.tsv; gene_heterogeneity.tsv; gene_power.tsv	Original Step08 scoring; manuscript inputs	YES	Regenerated copy is written under configured output_root and compared read-only with the released file in canonical mode.
data/derived/gene_power.tsv	Released anchor gene power annotation	03_modeling	06C_Power_analysis.R	scripts/portable_full_pipeline/original_ported/03_modeling/06C_Power_analysis.R	gene_heterogeneity.tsv; optional core_gene_set.tsv	Manuscript inputs	YES	Regenerated copy is packaged below the generated derived-input root.
data/derived/figure_inputs/gene_weights.tsv	Figure-facing frozen coefficient table	03_modeling_then_06_packaging	07_weight_estimation.R	scripts/portable_full_pipeline/original_ported/03_modeling/07_weight_estimation.R	Regenerated gene_weights.tsv	Active v6 manuscript scripts	YES	Packaging copies the regenerated table; released input is not overwritten.
data/derived/figure_inputs/gene_heterogeneity.tsv	Figure-facing anchor heterogeneity table	03_modeling_then_06_packaging	06B_gene_heterogeneity.R	scripts/portable_full_pipeline/original_ported/03_modeling/06B_gene_heterogeneity.R	Anchor DE workflow tables; core_gene_set.tsv	Active v6 manuscript scripts	YES	Uses original cross-dataset calculation.
data/derived/figure_inputs/gene_power.tsv	Figure-facing gene power table	03_modeling_then_06_packaging	06C_Power_analysis.R	scripts/portable_full_pipeline/original_ported/03_modeling/06C_Power_analysis.R	Gene heterogeneity table	Active v6 manuscript scripts	YES	Uses original power calculation.
data/derived/figure_inputs/support_by_dataset.tsv	Figure-facing anchor support inventory	03_modeling_then_06_packaging	06A_core_gene_set.R	scripts/portable_full_pipeline/original_ported/03_modeling/06A_core_gene_set.R	Anchor DE workflow tables	Active v6 manuscript scripts	YES	The original computed table is persisted by a marked porting output adapter line.
data/derived/figure_inputs/step09_split_eval.tsv	Split-level delivery-minus-control IMRSz evaluation	05_evaluation_then_06_packaging	09_calibration_evaluation.R	scripts/portable_full_pipeline/original_ported/05_evaluation/09_calibration_evaluation.R	Frozen score tables; split designs	Active v6 manuscript scripts	YES	Evaluation only; no model refit.
data/derived/figure_inputs/step09_split_summary.tsv	Step09 evaluation summary	05_evaluation_then_06_packaging	09_calibration_evaluation.R	scripts/portable_full_pipeline/original_ported/05_evaluation/09_calibration_evaluation.R	Step09 split evaluation	Active v6 manuscript scripts	YES	Evaluation only.
data/derived/figure_inputs/step09_split_sample_level.tsv	Sample-level Step09 evaluation data	05_evaluation_then_06_packaging	09_calibration_evaluation.R	scripts/portable_full_pipeline/original_ported/05_evaluation/09_calibration_evaluation.R	Frozen score tables; split designs	Active v6 manuscript scripts	YES	Evaluation only.
data/derived/figure_inputs/label_permutation_null_summary.tsv	Label-permutation robustness summary	07_layer2_bridge	01_label_permutation_null.R	scripts/portable_full_pipeline/bridge_to_layer2/publication_extra/01_label_permutation_null.R	Generated Step09/sample scores; frozen weights; generated designs	Active v6 manuscript scripts	YES	Generated after all_scored mode by the ported distributed bridge; released table is not overwritten.
data/derived/figure_inputs/leave_one_gene_out_summary.tsv	Leave-one-gene-out robustness summary	07_layer2_bridge	03_leave_one_gene_out.R	scripts/portable_full_pipeline/bridge_to_layer2/audit/03_leave_one_gene_out.R	Generated scores; frozen weights; designs	Active v6 manuscript scripts	YES	Generated after all_scored mode by the ported audit sequence.
data/derived/figure_inputs/gene_dominance_summary.tsv	Gene contribution-dominance robustness summary	07_layer2_bridge	04_gene_dominance.R	scripts/portable_full_pipeline/bridge_to_layer2/audit/04_gene_dominance.R	Generated scores; frozen weights; designs	Active v6 manuscript scripts	YES	Generated after all_scored mode by the ported audit sequence.
data/derived/figure_inputs/threshold_sensitivity_summary.tsv	Threshold-sensitivity robustness summary	07_layer2_bridge	05_threshold_sensitivity.R	scripts/portable_full_pipeline/bridge_to_layer2/audit/05_threshold_sensitivity.R	Generated scores; frozen weights; designs	Active v6 manuscript scripts	YES	Generated after all_scored mode by the ported audit sequence.
data/derived/figure_inputs/five_anchor_leave_one_anchor_out_summary.tsv	Five-anchor leave-one-anchor-out robustness summary	released_robustness	Not available in bundled core port	NA	Anchor holdout reconstruction outputs	Active v6 manuscript scripts	NO	Released robustness input; no source dependency was found in the core original script chain.
