dataset_id	split_id	tissue	timepoint_h	batch_or_grouping_variable	treatment_group_clean	control_group_clean	n_delivery	n_control	split_definition_basis	automated_or_manual	evidence_source	notes
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	whole liver	4	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	WT virus plus rh9C12 H433A whole liver	WT uninfected whole liver	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation, but interpret with genotype/antibody perturbation context
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	whole liver	4	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	TRIM21 KO virus plus rh9C12 WT whole liver	TRIM21 KO uninfected whole liver	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation, but interpret with genotype/antibody perturbation context
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	whole liver	4	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	TRIM21 KO virus plus rh9C12 H433A whole liver	TRIM21 KO uninfected whole liver	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation, but interpret with genotype/antibody perturbation context
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	whole liver	4	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	TRIM21 KO virus only whole liver	TRIM21 KO uninfected whole liver	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation, but interpret with genotype/antibody perturbation context
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	whole liver	4	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	WT virus only whole liver	WT uninfected whole liver	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation, but interpret with genotype/antibody perturbation context
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	whole liver	4	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	WT virus plus rh9C12 WT whole liver	WT uninfected whole liver	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation, but interpret with genotype/antibody perturbation context
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none	blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	ad.mva	none	6	6	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none	blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	ad empty	none	6	6	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none	blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	ad fhbp	none	6	6	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
GSE139529	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none	blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	ad pref	none	6	6	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
