original_script_name	original_absolute_location	existing_repo_location_if_any	copied_portable_location	pipeline_stage	expected_order	main_inputs	main_outputs	hard_coded_paths_found	setwd_found	helper_dependencies	porting_action	algorithmic_logic_changed	status	notes
02_adding_control_to_design.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/02_adding_control_to_design.R	scripts/full_pipeline/provenance_legacy/02_adding_control_to_design.R	scripts/portable_full_pipeline/original_ported/01_designs/02_adding_control_to_design.R	01_designs	01.1	verified_metadata/*.tsv	01_designs/scoring/<DATASET>/<DATASET>_design.tsv; control_audit.tsv	YES	NO	readr; dplyr; stringr; tibble	copied_exact_then_path_parameterized	NO	ported_validated_canonical_and_test	Input/output roots are supplied by the master runner without changing condition construction.
03_Final_design_file_autogroup.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/03_Final_design_file_autogroup.R	scripts/full_pipeline/provenance_legacy/03_Final_design_file_autogroup.R	scripts/portable_full_pipeline/original_ported/01_designs/03_Final_design_file_autogroup.R	01_designs	01.2	verified_metadata/*.tsv	01_designs/splited/<DATASET>_design/*.tsv; control_report.tsv	YES	NO	readr; dplyr; stringr; tibble	copied_exact_then_path_parameterized	NO	ported_validated_canonical_and_test	Original split and control-fallback logic is retained; only configured directories are substituted.
05_DEseq_contrast_delivery_control.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/05_DEseq_contrast_delivery_control.R	scripts/full_pipeline/provenance_legacy/05_DEseq_contrast_delivery_control.R	scripts/portable_full_pipeline/original_ported/02_deseq2_contrasts/05_DEseq_contrast_delivery_control.R	02_deseq2_contrasts	02	count matrices; verified full designs; split designs	04_de/<DATASET>/normalized/{anchor,calibration}; 04_de/comparison/<DATASET>/deseq2_contrasts/{anchor,calibration}; tracker	YES	NO	DESeq2; readr; dplyr; tibble; stringr	copied_exact_then_path_parameterized	NO	ported_validated_canonical_and_test	Raw-count and phase-specific DESeq2 logic remains original.
06A_core_gene_set.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06A_core_gene_set.R	scripts/full_pipeline/provenance_legacy/06A_core_gene_set.R	scripts/portable_full_pipeline/original_ported/03_modeling/06A_core_gene_set.R	03_modeling	03.1	04_de/comparison/*/deseq2_contrasts/anchor/*.tsv	05_score/anchors/core_gene_set.tsv; support_by_dataset.tsv; contrast audits	YES	NO	readr; dplyr; stringr; purrr; tibble; tidyr	copied_exact_then_path_parameterized	NO	repaired_parse_and_dry_run_verified_output_persistence_only	Original minimum-anchor and retained-gene logic is restored; support_by_dataset is an already-computed object additionally persisted for packaging only.
06B_gene_heterogeneity.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06B_gene_heterogeneity.R	scripts/full_pipeline/provenance_legacy/06B_gene_heterogeneity.R	scripts/portable_full_pipeline/original_ported/03_modeling/06B_gene_heterogeneity.R	03_modeling	03.2	Step05 anchor DE tables; core_gene_set.tsv	05_score/anchors/gene_heterogeneity.tsv; contrast_counts_by_dataset_6B.tsv	YES	NO	readr; dplyr; stringr; purrr; tibble; tidyr	copied_exact_then_path_parameterized	NO	repaired_parse_and_dry_run_verified	Original minimum-anchor requirement and heterogeneity computation are restored.
06C_Power_analysis.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06C_Power_analysis.R	scripts/full_pipeline/provenance_legacy/06C_Power_analysis.R	scripts/portable_full_pipeline/original_ported/03_modeling/06C_Power_analysis.R	03_modeling	03.3	gene_heterogeneity.tsv; optional core_gene_set.tsv	05_score/anchors/gene_power.tsv	YES	NO	readr; dplyr	copied_exact_then_path_parameterized	NO	ported_validated_canonical_and_test	Power calculations and thresholds remain original.
07_weight_estimation.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/07_weight_estimation.R	scripts/full_pipeline/provenance_legacy/07_weight_estimation.R	scripts/portable_full_pipeline/original_ported/03_modeling/07_weight_estimation.R	03_modeling	03.4	core_gene_set.tsv; gene_heterogeneity.tsv; gene_power.tsv	05_score/anchors/gene_weights.tsv	YES	NO	readr; dplyr	copied_exact_then_path_parameterized	NO	ported_validated_canonical_and_test	Frozen coefficient estimation remains original; canonical comparison is a separate thin manifest adapter.
08_score_samples.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/08_score_samples.R	scripts/full_pipeline/provenance_legacy/08_score_samples.R	scripts/portable_full_pipeline/original_ported/04_scoring/08_score_samples.R	04_scoring	04	raw count matrices; scoring designs; gene_weights.tsv	05_score/transfer/scores/*__imrs_scores.tsv; qc summaries; top contributors	YES	NO	DESeq2; readr; dplyr; stringr; tibble; purrr	copied_exact_then_path_parameterized	NO	repaired_parse_and_dry_run_verified	Original frozen scoring implementation is authoritative; the runner stages selected count and design roots outside Step08.
09_calibration_evaluation.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/09_calibration_evaluation.R	scripts/full_pipeline/provenance_legacy/09_calibration_evaluation.R	scripts/portable_full_pipeline/original_ported/05_evaluation/09_calibration_evaluation.R	05_evaluation	05	Step08 score files; split designs	05_score/transfer/eval/step09_split_eval.tsv; step09_split_summary.tsv; step09_split_sample_level.tsv	YES	NO	readr; dplyr; stringr; tibble; purrr; ggplot2; pROC	copied_exact_then_path_parameterized	NO	ported_validated_canonical_and_test	Original Step09 evaluation remains evaluation only.
06A_core_gene_set_mannual.R	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06A_core_gene_set_mannual.R	scripts/full_pipeline/provenance_legacy/06A_core_gene_set_mannual.R	NA	alternate_modeling	NA	Step05 DE tables	alternate core set	YES	NO	readr; dplyr; stringr; purrr; tibble; tidyr	not_needed_for_count_level_pipeline	NO	inventory_complete_not_ported	Alternate/manual historical file is not executed alongside the canonical 06A route.
