function_name	source_file	function_role	called_from
stop_if_missing_packages_v5	figure_helpers_v6.R	Required plotting package preflight	00_generate_manuscript_figures_v6.R
newest_file_snapshot_v5	figure_helpers_v6.R	Read-only released-input snapshot check	00_generate_manuscript_figures_v6.R; validate_v5_outputs
log_msg_v5	figure_helpers_v6.R	Layer 2 figure generation messages	00_generate_manuscript_figures_v6.R; helper renderers
render_v5_panels	figure_helpers_v6.R	Render panel set from released input tables	00_generate_manuscript_figures_v6.R
assemble_v5_figures	figure_helpers_v6.R	Assemble final figure panels	00_generate_manuscript_figures_v6.R
manifest_long_v5	figure_helpers_v6.R	Create long figure-output manifest	00_generate_manuscript_figures_v6.R
wording_audit_rows_v5	figure_helpers_v6.R	Controlled wording audit rows	00_generate_manuscript_figures_v6.R
write_tsv_v5	figure_helpers_v6.R	Write figure audit/manifests	00_generate_manuscript_figures_v6.R; helper routines
validate_v5_outputs	figure_helpers_v6.R	Validate generated outputs and unchanged released inputs	00_generate_manuscript_figures_v6.R
write_generation_log_v5	figure_helpers_v6.R	Write generation log	00_generate_manuscript_figures_v6.R
add_warning_v5	figure_helpers_v6.R	Accumulate warning text	helper renderers
norm_path_v5	figure_helpers_v6.R	Normalize configured paths	helper routines
replace_text_v5	figure_helpers_v6.R	Apply approved visible-text replacements	load_old_generator_env_v5
replace_source_text_v5	figure_helpers_v6.R	Apply approved source-level visible-text replacements	load_old_generator_env_v5
v5_integer_size_breaks	figure_helpers_v6.R	Select point-size legend breaks	render helper overrides
install_v5_clipping_overrides	figure_helpers_v6.R	Install corrected panel functions in loaded builder environment	load_old_generator_env_v5
load_old_generator_env_v5	figure_helpers_v6.R	Load repo-contained panel builder definitions	render_v5_panels
strip_publication_text_v5	figure_helpers_v6.R	Remove duplicated panel titles before assembly	render_v5_panels; render_corrected_figure1b_landscape_v5
save_plot_all_formats_v5	figure_helpers_v6.R	Write plot PNG/PDF/SVG	render_v5_panels; specialized renderers
save_grid_device_v5	figure_helpers_v6.R	Write assembled graphics device output	save_grid_all_formats_v5
save_grid_all_formats_v5	figure_helpers_v6.R	Write grid PNG/PDF/SVG	assemble_v5_figures; render_v5_panels
draw_png_fit_v5	figure_helpers_v6.R	Draw raster panel into assembly	assembly draw functions
layout_positions_v5	figure_helpers_v6.R	Panel layout coordinates	assemble_v5_figures
draw_clean_figure1a_grid_v5	figure_helpers_v6.R	Workflow drawing helper	assembly
make_v5_panel_plan	figure_helpers_v6.R	Panel plan table	render_v5_panels
make_v5_figure_plan	figure_helpers_v6.R	Final figure plan table	assemble_v5_figures
render_figure2_support_split_v5	figure_helpers_v6.R	Render Figure 2 split-support panels	render_v5_panels
make_figure1b_display_table_v5	figure_helpers_v6.R	Prepare Figure 1B display data	render_corrected_figure1b_landscape_v5
