dataset_id	assigned_role	allowed_role_label	primary_claim_included_yes_no	role_basis	evidence_source	possible_ambiguity	needs_manual_review_yes_no	notes
GSE167521	Locked anchor	Locked anchor	yes	locked anchor; mouse skin; 24 h	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 1 role-table rows.
GSE264344	Locked anchor; Extended validation	Locked anchor; Extended validation	yes	time_h <= 24: locked anchor discovery evidence	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Multiple role labels detected: Locked anchor; Extended validation	yes	Role assignment summarized across 36 role-table rows.
GSE279372	Locked anchor	Locked anchor	yes	locked anchor; acute discovery context	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 6 role-table rows.
GSE279744	Locked anchor	Locked anchor	yes	locked anchor; acute LNP formulation / dLN context	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 2 role-table rows.
GSE39129	Locked anchor	Locked anchor	yes	locked anchor; mouse liver; 4 h	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 1 role-table rows.
GSE119119	Primary acute validation	Primary acute validation	yes	external acute validation, but interpret with genotype/antibody perturbation context	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 6 role-table rows.
GSE139529	Primary acute validation	Primary acute validation	yes	external acute validation	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 6 role-table rows.
GSE279743	Primary acute validation	Primary acute validation	yes	external acute validation	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 2 role-table rows.
GSE166655	Extended validation	Extended validation	no	external extended transfer; not acute innate validation	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	none apparent	no	Role assignment summarized across 2 role-table rows.
GSE178313	Extended validation	Extended validation	no	external extended transfer; not strict acute validation	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	yes	Role assignment summarized across 1 role-table rows.
GSE314070	Extended validation	Extended validation	no	external extended transfer; not acute innate validation	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	none apparent	no	Role assignment summarized across 2 role-table rows.
GSE262515_cell_line	Secondary support	Secondary support	no	secondary support / weak-context audit; not in production discovery set	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	none apparent	no	Role assignment summarized across 2 role-table rows.
GSE262515_tissue	Secondary support	Secondary support	no	secondary support / weak-context audit; not in production discovery set	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	none apparent	no	Role assignment summarized across 3 role-table rows.

