source_split_file	split_id	dataset_id_guess	gse_id	tissue_from_filename	time_h_from_filename	treatment_token	control_token	n_rows	n_delivery	n_control	treatment_group_raw	control_group_raw	tissue_recovered	time_h_recovered	is_scored_in_current_eval
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver	GSE119119	GSE119119	whole liver	4	GID00069418	WT_uninfected_whole_liver	8	4	4	WT_virus_plus_rh9C12_H433A_whole_liver	WT_uninfected_whole_liver	whole liver	4	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver	GSE119119	GSE119119	whole liver	4	GID00088542	TRIM21_KO_uninfected_whole_liver	8	4	4	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	TRIM21_KO_uninfected_whole_liver	whole liver	4	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver	GSE119119	GSE119119	whole liver	4	GID00096342	TRIM21_KO_uninfected_whole_liver	8	4	4	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	TRIM21_KO_uninfected_whole_liver	whole liver	4	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver	GSE119119	GSE119119	whole liver	4	TRIM21_KO_virus_only_whole_liver	TRIM21_KO_uninfected_whole_liver	8	4	4	TRIM21_KO_virus_only_whole_liver	TRIM21_KO_uninfected_whole_liver	whole liver	4	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver	GSE119119	GSE119119	whole liver	4	WT_virus_only_whole_liver	WT_uninfected_whole_liver	8	4	4	WT_virus_only_whole_liver	WT_uninfected_whole_liver	whole liver	4	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design/GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver.tsv	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver	GSE119119	GSE119119	whole liver	4	WT_virus_plus_rh9C12_WT_whole_liver	WT_uninfected_whole_liver	8	4	4	WT_virus_plus_rh9C12_WT_whole_liver	WT_uninfected_whole_liver	whole liver	4	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none.tsv	GSE139529_design__T=blood__H=24__B=NA__G=ad.mva__VS=none	GSE139529	GSE139529	blood	24	ad.mva	none	12	6	6	ad.mva	none	blood	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none.tsv	GSE139529_design__T=blood__H=24__B=NA__G=ad_empty__VS=none	GSE139529	GSE139529	blood	24	ad_empty	none	12	6	6	ad_empty	none	blood	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none.tsv	GSE139529_design__T=blood__H=24__B=NA__G=ad_fhbp__VS=none	GSE139529	GSE139529	blood	24	ad_fhbp	none	12	6	6	ad_fhbp	none	blood	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none.tsv	GSE139529_design__T=blood__H=24__B=NA__G=ad_pref__VS=none	GSE139529	GSE139529	blood	24	ad_pref	none	12	6	6	ad_pref	none	blood	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none.tsv	GSE139529_design__T=blood__H=24__B=NA__G=mva.ad__VS=none	GSE139529	GSE139529	blood	24	mva.ad	none	12	6	6	mva.ad	none	blood	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design/GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none.tsv	GSE139529_design__T=blood__H=24__B=NA__G=mva_fhbp__VS=none	GSE139529	GSE139529	blood	24	mva_fhbp	none	12	6	6	mva_fhbp	none	blood	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated.tsv	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	GSE166655	GSE166655	Tibialis anterior	1008	delivery_aav9_ar45	delivery_untreated	6	3	3	delivery_aav9_ar45	delivery_untreated	Tibialis anterior	1008	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE166655_design/GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated.tsv	GSE166655_design__T=Tibialis_anterior__H=1008__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	GSE166655	GSE166655	Tibialis anterior	1008	delivery_aav9_gfp	delivery_untreated	6	3	3	delivery_aav9_gfp	delivery_untreated	Tibialis anterior	1008	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	GSE167521	GSE167521	skin	24	delivery_lnp	baseline_0	8	4	4	delivery_lnp	baseline_0	skin	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE178313_design/GSE178313_design__T=Liver__H=24__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs.tsv	GSE178313_design__T=Liver__H=24__B=NA__G=mouse_repopulated_lnp__VS=mouse_repopulated_pbs	GSE178313	GSE178313	Liver	24	mouse_repopulated_lnp	mouse_repopulated_pbs	8	4	4	mouse_repopulated_lnp	mouse_repopulated_pbs	Liver	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE190850_HUMAN_design/GSE190850_HUMAN_design__T=BALF__H=0__B=NA__G=GID00119535__VS=delivery_unstimulated.tsv	GSE190850_HUMAN_design__T=BALF__H=0__B=NA__G=GID00119535__VS=delivery_unstimulated	GSE190850_HUMAN	GSE190850	BALF	0	GID00119535	delivery_unstimulated	20	10	10	delivery_stimulated_with_m_tb_whole_cell_lysate	delivery_unstimulated	BALF	0	FALSE
<local_project_root>/00_metadata/verified_metadata/splited/GSE190850_HUMAN_design/GSE190850_HUMAN_design__T=BALF__H=1344__B=NA__G=GID00119535__VS=delivery_unstimulated.tsv	GSE190850_HUMAN_design__T=BALF__H=1344__B=NA__G=GID00119535__VS=delivery_unstimulated	GSE190850_HUMAN	GSE190850	BALF	1344	GID00119535	delivery_unstimulated	20	10	10	delivery_stimulated_with_m_tb_whole_cell_lysate	delivery_unstimulated	BALF	1344	FALSE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	GSE262515	GSE262515	cell line	16	delivery_tlnp_sihbv_50nm	baseline_0	6	3	3	delivery_tlnp_sihbv_50nm	baseline_0	cell line	16	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	GSE262515	GSE262515	cell line	16	delivery_tlnp_sinc_50nm	baseline_0	6	3	3	delivery_tlnp_sinc_50nm	baseline_0	cell line	16	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	GSE262515	GSE262515	tissue	72	delivery_tlnp_sihbv_1mg_kg	baseline_0	6	3	3	delivery_tlnp_sihbv_1mg_kg	baseline_0	tissue	72	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	GSE262515	GSE262515	tissue	72	delivery_tlnp_sihbv_2_5mg_kg	baseline_0	6	3	3	delivery_tlnp_sihbv_2_5mg_kg	baseline_0	tissue	72	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	GSE262515	GSE262515	tissue	72	delivery_tlnp_sinc_1mg_kg	baseline_0	6	3	3	delivery_tlnp_sinc_1mg_kg	baseline_0	tissue	72	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0.tsv	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	GSE262515_cell_line	GSE262515	cell line	16	delivery_tlnp_sihbv_50nm	baseline_0	6	3	3	delivery_tlnp_sihbv_50nm	baseline_0	cell line	16	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design/GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0.tsv	GSE262515_design__T=cell_line__H=16__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	GSE262515_cell_line	GSE262515	cell line	16	delivery_tlnp_sinc_50nm	baseline_0	6	3	3	delivery_tlnp_sinc_50nm	baseline_0	cell line	16	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	GSE262515_tissue	GSE262515	tissue	72	delivery_tlnp_sihbv_1mg_kg	baseline_0	6	3	3	delivery_tlnp_sihbv_1mg_kg	baseline_0	tissue	72	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	GSE262515_tissue	GSE262515	tissue	72	delivery_tlnp_sihbv_2_5mg_kg	baseline_0	6	3	3	delivery_tlnp_sihbv_2_5mg_kg	baseline_0	tissue	72	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0.tsv	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	GSE262515_tissue	GSE262515	tissue	72	delivery_tlnp_sinc_1mg_kg	baseline_0	6	3	3	delivery_tlnp_sinc_1mg_kg	baseline_0	tissue	72	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0	GSE264344	GSE264344	Blood	12	delivery_ad26	baseline_0	10	5	5	delivery_ad26	baseline_0	Blood	NA	TRUE
