input_file	consumed_by	generated_from_step09_bridge	generated_by_all_scored	released_reference_required	notes
data/derived/frozen_gene_weights.tsv	supplementary table builder; Priority3 enrichment	NO	YES	NO	Generated from locked-anchor Steps 06A-07 only; compared read-only with released canonical weights.
data/derived/gene_power.tsv	supplementary table builder; Priority3 enrichment	NO	YES	NO	Generated from locked-anchor modeling only.
data/derived/gene_symbol_mapping.tsv	supplementary table builder; Priority3 enrichment	NO	NO	YES	Bridge packages the released symbol mapping as an explicitly labelled reference input.
data/derived/supplement_dataset_split_provenance_v7.tsv	supplementary table builder	YES	YES	NO	Generated by the ported provenance audit script after all-scored designs and Step09 products exist.
data/derived/weak_dataset_paper_context_audit.tsv	supplementary table builder	YES	YES	NO	Generated by the ported context audit and cleanup sequence.
data/derived/leave_one_gene_out_summary.tsv	supplementary table builder	YES	YES	NO	Generated by the ported audit robustness script using frozen model/application results.
data/derived/gene_dominance_summary.tsv	supplementary table builder	YES	YES	NO	Generated by the ported audit robustness script.
data/derived/threshold_sensitivity_summary.tsv	supplementary table builder	YES	YES	NO	Generated by the ported audit robustness script.
data/derived/leave_one_anchor_out_summary.tsv	supplementary table builder	YES	YES	NO	Generated historical leave-one-anchor-out output from the ported original audit script.
data/derived/label_permutation_null_summary.tsv	supplementary table builder	YES	YES	NO	Generated by the ported publication-extra permutation script.
data/derived/baseline_signature_summary_by_group.tsv	supplementary table builder	YES	YES	NO	Generated by the ported publication-extra baseline benchmark script.
data/derived/coefficient_sensitivity_summary.tsv	supplementary table builder	YES	YES	NO	Generated by the ported publication-extra coefficient sensitivity script.
data/derived/figure_inputs/manuscript_dataset_role_table.tsv	figure_helpers_v6; panel_builders_v6	YES	YES	NO	Generated after all-scored Step09; includes manuscript role classes.
data/derived/figure_inputs/dataset_classification_authoritative.tsv	panel_builders_v6	NO	NO	YES	No direct Step09 bridge generator was located; copied as labelled released reference.
data/derived/figure_inputs/gene_weights.tsv	panel_builders_v6	NO	YES	NO	Generated locked-anchor frozen weights packaged for figures.
data/derived/figure_inputs/gene_symbol_mapping.tsv	panel_builders_v6	NO	NO	YES	Released reference mapping packaged without modification.
data/derived/figure_inputs/gene_heterogeneity.tsv	panel_builders_v6	NO	YES	NO	Generated locked-anchor modeling output.
data/derived/figure_inputs/gene_power.tsv	panel_builders_v6	NO	YES	NO	Generated locked-anchor modeling output.
data/derived/figure_inputs/support_by_dataset.tsv	panel_builders_v6	NO	YES	NO	Generated locked-anchor support inventory.
data/derived/figure_inputs/contrast_counts_by_dataset.tsv	panel_builders_v6	NO	YES	NO	Generated locked-anchor support-stage output.
data/derived/figure_inputs/contrast_counts_by_dataset_6B.tsv	panel_builders_v6	NO	YES	NO	Generated locked-anchor heterogeneity-stage output.
data/derived/figure_inputs/step09_split_eval.tsv	panel_builders_v6	NO	YES	NO	Generated all-scored Step09 evaluation table, copied into the Layer 2 input package.
data/derived/figure_inputs/step09_split_sample_level.tsv	panel_builders_v6	NO	YES	NO	Generated all-scored Step09 sample-level evaluation table.
data/derived/figure_inputs/leave_one_gene_out_summary.tsv	panel_builders_v6	YES	YES	NO	Generated ported robustness result.
data/derived/figure_inputs/gene_dominance_summary.tsv	panel_builders_v6	YES	YES	NO	Generated ported robustness result.
data/derived/figure_inputs/threshold_sensitivity_summary.tsv	panel_builders_v6	YES	YES	NO	Generated ported robustness result.
data/derived/figure_inputs/threshold_sensitivity_contrast_deltas.tsv	panel_builders_v6	YES	YES	NO	Generated ported robustness detail result.
data/derived/figure_inputs/five_anchor_leave_one_anchor_out_summary.tsv	panel_builders_v6	NO	NO	YES	Active five-anchor figure input has no matching direct generator among ported original bridge scripts.
data/derived/figure_inputs/five_anchor_leave_one_anchor_out_contrast_details.tsv	panel_builders_v6	NO	NO	YES	Active five-anchor figure input has no matching direct generator among ported original bridge scripts.
data/derived/figure_inputs/weak_dataset_paper_context_audit.tsv	panel_builders_v6	YES	YES	NO	Generated ported context-audit result.
data/derived/figure_inputs/label_permutation_null_summary.tsv	panel_builders_v6	YES	YES	NO	Generated ported permutation result.
data/derived/figure_inputs/baseline_signature_summary_by_group.tsv	panel_builders_v6	YES	YES	NO	Generated ported comparator result.
data/derived/figure_inputs/baseline_signature_contrast_long.tsv	panel_builders_v6	YES	YES	NO	Generated ported comparator result.
data/derived/figure_inputs/baseline_signature_paired_contrast_comparison.tsv	panel_builders_v6	YES	YES	NO	Generated ported comparator result.
data/derived/figure_inputs/baseline_signature_scores_sample_level.tsv	panel_builders_v6	YES	YES	NO	Generated ported comparator result.
data/derived/figure_inputs/coefficient_sensitivity_summary.tsv	panel_builders_v6	YES	YES	NO	Generated ported coefficient sensitivity result.
