script_file	pipeline_stage	role_in_reconstruction	primary_inputs	primary_outputs	package_dependencies	path_portability_status	execution_status	in_default_reviewer_run_yes_no	notes
METADATA_BUILD.R	01_metadata_processing	Build per-dataset sample and design metadata from SRA run-table metadata	00_metadata/<dataset_id>/SraRunTable.csv	00_metadata/<dataset_id>/<dataset_id>_samples.tsv; 00_metadata/<dataset_id>/<dataset_id>_design.tsv	readr; dplyr; stringr; tibble	requires_path_update	not_run_documentation_only	no	Contains historical project_root default; metadata assignment should be reviewed against released curation records.
01_run_all_metadata_build.R	01_metadata_processing	Wrapper that applies METADATA_BUILD.R across detected GSE metadata folders	00_metadata/GSE*/; METADATA_BUILD.R	00_metadata/metadata_build_summary.csv	stringr; dplyr; readr; tibble	requires_path_update	not_run_documentation_only	no	Sources METADATA_BUILD.R from the original script-tree layout and requires portable source resolution.
02_adding_control_to_design.R	02_design_and_split_generation	Build dataset-level scoring designs with control/delivery labels	00_metadata/verified_metadata/*.tsv	00_metadata/verified_metadata/scoring/<DATASET>/<DATASET>_design.tsv; scoring/control_audit.tsv	readr; dplyr; stringr; tibble	runnable_after_project_root_argument	not_run_documentation_only	no	Accepts project_root argument but retains historical default.
03_Final_design_file_autogroup.R	02_design_and_split_generation	Build contrast-level DESeq2-ready split definitions with documented control fallback	00_metadata/verified_metadata/*.tsv	00_metadata/verified_metadata/splited/<DATASET>_design/*.tsv; split indices/maps	readr; dplyr; stringr; tibble	requires_path_update	not_run_documentation_only	no	Has directly assigned absolute input path and includes dataset-specific scope decisions requiring curation traceability.
05_DEseq_contrast_delivery_control.R	03_anchor_differential_expression	Run phase-aware DESeq2 normalization and delivery-versus-control differential-expression contrasts	03_counts/<DATASET>/featurecounts/validation/gene_counts_clean.tsv; verified full designs; split designs	04_de/<DATASET>/normalized/{anchor,calibration}/; 04_de/comparison/<DATASET>/deseq2_contrasts/{anchor,calibration}/; tracker table	DESeq2; readr; dplyr; tibble; stringr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Requires raw integer count matrices and may be computationally substantial.
06A_core_gene_set.R	04_locked_anchor_gene_selection	Construct locked-anchor core/support gene set from Step05 DE tables	04_de/comparison/*/deseq2_contrasts/anchor/*.tsv	05_score/anchors/core_gene_set.tsv; support_by_dataset.tsv; contrast-count audits	readr; dplyr; stringr; purrr; tibble; tidyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Core reconstruction script; retained for provenance.
06A_core_gene_set_mannual.R	04_locked_anchor_gene_selection	Historical/manual-labeled alternate core-gene script	04_de/comparison/*/deseq2_contrasts/anchor/*.tsv	05_score/anchors/core_gene_set.tsv; contrast-count audits	readr; dplyr; stringr; purrr; tibble; tidyr	requires_manual_role_confirmation	not_run_documentation_only	no	Name and relationship to canonical 06A require clarification before execution; do not run alongside canonical step without review.
06B_gene_heterogeneity.R	04_locked_anchor_gene_selection	Compute cross-anchor meta-estimates and heterogeneity annotations	Step05 anchor DE tables; core_gene_set.tsv	05_score/anchors/gene_heterogeneity.tsv; contrast_counts_by_dataset_6B.tsv	readr; dplyr; stringr; purrr; tibble; tidyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Anchor-only reconstruction stage.
06C_Power_analysis.R	04_locked_anchor_gene_selection	Compute information/power annotation used in filtering/weighting	05_score/anchors/gene_heterogeneity.tsv; optional core_gene_set.tsv	05_score/anchors/gene_power.tsv	readr; dplyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Produces gene_power used both for provenance and Priority3 enrichment background.
07_weight_estimation.R	05_weight_estimation	Estimate frozen anchor-derived coefficient table from retained anchor inputs	core_gene_set.tsv; gene_heterogeneity.tsv; gene_power.tsv	05_score/anchors/gene_weights.tsv	readr; dplyr	runnable_after_project_root_argument_not_tested	not_run_documentation_only	no	Canonical output maps to released data/derived/frozen_gene_weights.tsv; no refitting occurs in Layer 2.
