gse_id	split_id	split_path	manuscript_role	manuscript_interpretation_group	manuscript_interpretation_label	contrast_label	control_label	tissue	time_h	permutation_status	fail_reason	n_permutations	n_control	n_delivery	observed_delta_mean_imrs_z	null_mean_delta	null_sd_delta	null_q025_delta	null_q05_delta	null_q50_delta	null_q95_delta	null_q975_delta	null_z	empirical_p_two_sided	empirical_p_greater	empirical_p_less	empirical_p_two_sided_fdr	empirical_p_greater_fdr	empirical_p_less_fdr	observed_outside_95pct_null
GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE167521_design/GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_lnp__vs__baseline_0	baseline_0	skin	24	ok	NA	1000	4	4	8.690306696957737	0.06175813556992937	3.3103687407346327	-5.182899163358864	-5.072949851590791	0.12207356498814459	4.962362216376822	5.182899163358864	2.6065218823547047	0.027972027972027972	0.012987012987012988	1	0.04828504828504829	0.023923444976076555	1	TRUE
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Blood	1	ok	NA	1000	5	5	0.0779068941903649	0.001042639939526819	0.07765989535366839	-0.14421752055690865	-0.13575403896360183	-0.002618732279495495	0.12505045365708145	0.14009557663985084	0.9897548007345759	0.34065934065934067	0.1798201798201798	0.8231768231768232	0.38574328896909543	0.20302278366794496	1	FALSE
GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Blood	1	ok	NA	1000	5	5	0.22131834935303651	0.0012091858971199792	0.10763192734974418	-0.20759133511488115	-0.17854310640953452	0.0010870769115344237	0.1736320887414221	0.21081561027930829	2.045017392847418	0.03896103896103896	0.02097902097902098	0.9820179820179821	0.06060606060606061	0.03337571519389701	1	TRUE
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Muscle	1	ok	NA	1000	5	5	0.5752137463208833	0.02137431611613059	0.22904221902322158	-0.452519885025753	-0.38284238901187195	0.023015202893415188	0.3829789781122558	0.44223291226190087	2.418066994664426	0.011988011988011988	0.003996003996003996	1	0.02706970448905933	0.01295001295001295	1	TRUE
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Muscle	1	ok	NA	1000	5	5	0.5210164970803043	0.005222515895191364	0.22416152804066503	-0.4173088464325736	-0.3540803986347596	0.005723111491826582	0.3728714217191245	0.4175698339342335	2.300992439217951	0.02197802197802198	0.00999000999000999	0.994005994005994	0.042735042735042736	0.01998001998001998	1	TRUE
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	dLN	1	ok	NA	1000	5	5	0.36951077174650715	0.0023086096889422076	0.2859598177513636	-0.5169470614300029	-0.47107495075003314	0.002819507812529154	0.4714380445088842	0.5014835297118676	1.2841040568043725	0.24175824175824176	0.12487512487512488	0.8801198801198801	0.28205128205128205	0.1456876456876457	1	FALSE
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	dLN	1	ok	NA	1000	5	5	0.3592382013315616	-9.650542229205818e-4	0.21589380091299967	-0.41633180200311015	-0.36179384878054766	-0.0017230094563213116	0.34381350256551313	0.39811632249135653	1.6684279679694738	0.1088911088911089	0.04895104895104895	0.954045954045954	0.1361138861138861	0.0646523288032722	1	FALSE
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Blood	3	ok	NA	1000	5	5	3.6646891330381473	-0.007067749163497507	1.2154127756353392	-2.3405708475292304	-2.2182940735434133	0.28337797306533385	2.1817124131783494	2.265514508857782	3.0209957932047304	0.011988011988011988	0.005994005994005994	1	0.02706970448905933	0.014468290330359295	1	TRUE
GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Blood	3	ok	NA	1000	5	5	0.9366653756632484	-0.02986949773861665	0.36514776082013756	-0.7490343960511122	-0.635991781271475	-0.018708627312223225	0.568577831517614	0.7300571410353819	2.6469691919539264	0.007992007992007992	0.002997002997002997	1	0.02706970448905933	0.01295001295001295	1	TRUE
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Muscle	3	ok	NA	1000	5	5	3.166868738099831	-0.04315399988292369	1.0615225176490124	-2.1945946402259353	-1.8045654112872556	-0.1848985814350237	1.7889654377980944	2.073058952290988	3.0239798823034807	0.005994005994005994	0.002997002997002997	1	0.02706970448905933	0.01295001295001295	1	TRUE
