dataset_id	split_id	manuscript_analysis_group	timepoint_h	tissue	treatment_context	boundary_category	boundary_explanation	interpretation_support_level	source_PMID	paper_context_alignment	manuscript_handling	notes
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_ar45__VS=delivery_untreated	Extended validation	672	Tibialis anterior	delivery_aav9_ar45	disease-rescue model	Disease-rescue design adds biological context beyond delivery-versus-control scoring, supporting boundary-setting interpretation.	partially explainable	34417184	Paper context supports cautious interpretation as disease-rescue model.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE166655	GSE166655_design__T=Tibialis_anterior__H=672__B=NA__G=delivery_aav9_gfp__VS=delivery_untreated	Extended validation	672	Tibialis anterior	delivery_aav9_gfp	disease-rescue model	Disease-rescue design adds biological context beyond delivery-versus-control scoring, supporting boundary-setting interpretation.	partially explainable	34417184	Paper context supports cautious interpretation as disease-rescue model.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0	Extended validation	336	small intestine	delivery_sm102_lnp	tissue/time kinetic effect	Distal or adaptive tissue context can attenuate the acute delivery-associated innate transcriptional response captured by IMRS.	explainable	41671339	Paper context supports cautious interpretation as distal or adaptive tissue.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0	Extended validation	336	small intestine	delivery_am80_lnp	formulation designed to reduce inflammation	Formulation design is expected to reduce inflammatory transcriptional signal, so the contrast is treated as boundary-setting evidence.	explainable	41671339	Paper context supports cautious interpretation as formulation designed to reduce inflammation.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sinc_50nm__VS=baseline_0	Secondary support	72	cell line	delivery_tlnp_sinc_50nm	late timepoint	Timing falls outside the primary acute window, so the contrast is interpreted as boundary-setting evidence for late or context-shifted settings.	partially explainable	38902241	Paper context supports cautious interpretation as late timepoint.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sinc_1mg_kg__VS=baseline_0	Secondary support	72	tissue	delivery_tlnp_sinc_1mg_kg	late timepoint	Timing falls outside the primary acute window, so the contrast is interpreted as boundary-setting evidence for late or context-shifted settings.	partially explainable	38902241	Paper context supports cautious interpretation as late timepoint.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE262515_cell_line	GSE262515_cell_line__T=cell_line__H=72__B=NA__G=delivery_tlnp_sihbv_50nm__VS=baseline_0	Secondary support	72	cell line	delivery_tlnp_sihbv_50nm	therapeutic cargo-specific effect	Therapeutic cargo context can shape the observed transcriptional program, so the contrast is retained as boundary-setting evidence.	partially explainable	38902241	Paper context supports cautious interpretation as therapeutic cargo-specific effect.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	Secondary support	72	tissue	delivery_tlnp_sihbv_1mg_kg	therapeutic cargo-specific effect	Therapeutic cargo context can shape the observed transcriptional program, so the contrast is retained as boundary-setting evidence.	partially explainable	38902241	Paper context supports cautious interpretation as therapeutic cargo-specific effect.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE262515_tissue	GSE262515_tissue__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	Secondary support	72	tissue	delivery_tlnp_sihbv_2_5mg_kg	therapeutic cargo-specific effect	Therapeutic cargo context can shape the observed transcriptional program, so the contrast is retained as boundary-setting evidence.	partially explainable	38902241	Paper context supports cautious interpretation as therapeutic cargo-specific effect.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	Extended validation	72	Blood	delivery_ad26	tissue/time kinetic effect	Tissue and time kinetics differ from the primary acute validation context, supporting a boundary-setting interpretation.	explainable	40162786	Paper context supports cautious interpretation as tissue/time kinetic effect.	Retain as late or context-shifted settings and interpret as boundary-setting evidence rather than primary validation.	Late or context-shifted settings are retained and labeled as boundary-setting evidence, not primary validation.
