curation_id	curation_type	dataset_id	split_id	curated_field	original_value	curated_value	source_evidence	source_PMID	source_DOI	rationale	curator	curation_date_if_available	used_in_stage	used_in_figure_or_table	review_status	notes
CUR00001	dataset_role_assignment	GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	NA	NA	locked anchor; mouse skin; 24 h	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00002	inclusion_exclusion_decision	GSE167521	GSE167521_design__T=skin__H=24__B=NA__G=delivery_lnp__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	NA	NA	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00003	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00004	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00005	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00006	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=1__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00007	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00008	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00009	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00010	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00011	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00012	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00013	dataset_role_assignment	GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00014	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00015	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00016	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00017	dataset_role_assignment	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00018	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Blood__H=3__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00019	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00020	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00021	dataset_role_assignment	GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	manuscript_analysis_group	anchor	Locked anchor	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	time_h <= 24: locked anchor discovery evidence	not_recorded_in_source	NA	08_dataset_role_cleanup	Figures 1-5; Supplementary Tables S1-S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
CUR00022	inclusion_exclusion_decision	GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	primary_claim_included_yes_no	anchor_discovery	yes	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	40162786	10.1128/jvi.00247-25	Strict anchor used for portability checks and frozen-score validation.	not_recorded_in_source	NA	08_dataset_role_cleanup	Supplementary Table S1; Supplementary Table S2	documented	Not independent of the anchor evidence except in leave-one-anchor-out analysis. Organism metadata unavailable in inspected design files.
