dataset_id	GEO_accession	PMID	DOI	publication_title	paper_context_summary	treatment_control_design_summary	expected_IMRS_behavior	observed_IMRS_behavior	paper_result_alignment	mapping_source	needs_review_yes_no	notes
GSE119119	GSE119119	30209217	10.1073/pnas.1806314115	TRIM21 mediates antibody inhibition of adenovirus-based gene delivery and vaccination	Primary acute validation with perturbation context.	WT virus plus rh9C12 H433A whole liver versus WT uninfected whole liver; TRIM21 KO virus plus rh9C12 WT whole liver versus TRIM21 KO uninfected whole liver; TRIM21 KO virus plus rh9C12 H433A whole liver versus TRIM21 KO uninfected whole liver; TRIM21 KO virus only whole liver versus TRIM21 KO uninfected whole liver; WT virus only whole liver versus WT uninfected whole liver; WT virus plus rh9C12 WT whole liver versus WT uninfected whole liver	strong_expected_acute_innate_signal	strong_expected_acute_innate_signal	matches_paper_context	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 6 split-level rows.
GSE139529	GSE139529	34717548	10.1186/s12864-021-08061-8	Distinct patterns of whole blood transcriptional responses are induced in mice following immunisation with adenoviral and poxviral vector vaccines encoding the same antigen	Primary acute validation.	ad.mva versus none; ad empty versus none; ad fhbp versus none; ad pref versus none; mva.ad versus none; mva fhbp versus none	strong_expected_acute_innate_signal	strong_expected_acute_innate_signal	matches_paper_context	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 6 split-level rows.
GSE166655	GSE166655	34417184	10.1126/sciadv.abi6896	Gene therapy with AR isoform 2 rescues spinal and bulbar muscular atrophy phenotype by modulating AR transcriptional activity	Extended validation only, not primary acute validation.	delivery aav9 ar45 versus delivery untreated; delivery aav9 gfp versus delivery untreated	weak_but_biologically_explainable	weak_but_biologically_explainable	context_explains_weaker_signal	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 2 split-level rows.
GSE167521	GSE167521	34841223	10.1016/j.isci.2021.103479	The mRNA-LNP platform's lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory	Locked anchor / acute LNP inflammatory response.	delivery lnp versus baseline 0	strong_expected_acute_innate_signal	strong_expected_acute_innate_signal	matches_paper_context	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 1 split-level rows.
GSE178313	GSE178313	35132167	10.1038/s41565-021-01030-y	Species-dependent in vivo mRNA delivery and cellular responses to nanoparticles	Extended validation, not primary acute validation.	mouse repopulated lnp versus mouse repopulated pbs	moderate_expected_signal	moderate_expected_signal	matches_paper_context	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 1 split-level rows.
GSE262515_cell_line	GSE262515	38902241	10.1038/s41392-024-01871-8	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	Secondary support / non-primary evidence.	delivery tlnp sihbv 50nm versus baseline 0; delivery tlnp sinc 50nm versus baseline 0	weak_but_biologically_explainable	weak_but_biologically_explainable	context_explains_weaker_signal	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 2 split-level rows.
GSE262515_tissue	GSE262515	38902241	10.1038/s41392-024-01871-8	Optimized RNA interference therapeutics combined with interleukin-2 mRNA for treating hepatitis B virus infection	Secondary support / non-primary evidence.	delivery tlnp sihbv 1mg kg versus baseline 0; delivery tlnp sihbv 2 5mg kg versus baseline 0; delivery tlnp sinc 1mg kg versus baseline 0	weak_but_biologically_explainable	weak_but_biologically_explainable	context_explains_weaker_signal	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 3 split-level rows.
GSE264344	GSE264344	40162786	10.1128/jvi.00247-25	Early spatiotemporal evolution of the immune response elicited by adenovirus serotype 26 vector vaccination in mice	1-24 h rows = locked anchor; 72 h rows = extended validation/kinetic context.	delivery ad26 versus baseline 0; delivery ad5 versus baseline 0	strong_expected_acute_innate_signal_for_1_to_24h; weak_but_biologically_explainable_for_72h	strong_expected_acute_innate_signal; weak_but_biologically_explainable	matches_paper_context; context_explains_weaker_signal	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 36 split-level rows.
GSE279372	GSE279372	39494905	10.1128/jvi.01699-24	Lipid nanoparticles as adjuvant of norovirus VLP vaccine augment cellular and humoral immune responses in a TLR9- and type I IFN-dependent pathway	Locked anchor evidence in the five-dataset production anchor set.	delivery 250 g alum 5 g gi 1 gii 4 vlp injected versus baseline 0; delivery 125 g lnps 5 g gi 1 gii 4 vlp injected versus baseline 0; delivery 1000 g lnps 5 g gi 1 gii 4 vlp injected versus baseline 0; delivery 1000 g lnps injected versus baseline 0; delivery 250 g alum injected versus baseline 0; delivery 5 g gi 1 gii 4 vlp versus baseline 0	strong_expected_acute_innate_signal	moderate_expected_signal; strong_expected_acute_innate_signal; negative_or_low_requires_review	matches_paper_context; requires_manual_review	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 6 split-level rows.
GSE279743	GSE279743	39690742	10.1016/j.ymthe.2024.12.032	Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 influenza virus with reduced adverse reactions	Primary acute validation.	delivery vaccination with sm102 versus baseline 0; delivery vaccination with ssop versus baseline 0	moderate_expected_signal	strong_expected_acute_innate_signal	matches_paper_context	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Publication mapping summarized across 2 split-level rows.
