expected_dataset_folder	detected_top_level_design_file	detected_scoring_design_files	detected_split_directories	n_split_design_files	n_scored_rows	has_verified_metadata	scoring_status_summary	notes
GSE39129	<local_project_root>/00_metadata/verified_metadata/scoring/GSE39129/GSE39129_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE39129/GSE39129_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE39129_design	1	1	TRUE	scored_in_current_transfer_eval	NA
GSE119119	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE119119/GSE119119_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE119119_design	6	6	TRUE	scored_in_current_transfer_eval	NA
GSE139529	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE139529/GSE139529_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE139529_design	6	6	TRUE	scored_in_current_transfer_eval	NA
GSE166655	<local_project_root>/00_metadata/verified_metadata/scoring/GSE166655/GSE166655_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE166655/GSE166655_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE166655_design	2	2	TRUE	scored_in_current_transfer_eval	NA
GSE167521	<local_project_root>/00_metadata/verified_metadata/scoring/GSE167521/GSE167521_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE167521/GSE167521_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE167521_design	1	1	TRUE	scored_in_current_transfer_eval	NA
GSE178313	<local_project_root>/00_metadata/verified_metadata/scoring/GSE178313/GSE178313_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE178313/GSE178313_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE178313_design	1	1	TRUE	scored_in_current_transfer_eval	NA
GSE190850_HUMAN	<local_project_root>/00_metadata/verified_metadata/scoring/GSE190850_HUMAN/GSE190850_HUMAN_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE190850_HUMAN/GSE190850_HUMAN_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE190850_HUMAN_design	2	0	TRUE	verified_metadata_only_not_scored	NA
GSE237068	<local_project_root>/00_metadata/verified_metadata/GSE237068_design.tsv	NA	NA	0	0	TRUE	verified_metadata_only_not_scored	NA
GSE262515	<local_project_root>/00_metadata/verified_metadata/scoring/GSE262515/GSE262515_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE262515/GSE262515_design.tsv; <local_project_root>/00_metadata/verified_metadata/scoring/GSE262515_cell_line/GSE262515_cell_line_design.tsv; <local_project_root>/00_metadata/verified_metadata/scoring/GSE262515_tissue/GSE262515_tissue_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE262515_cell_line_design; <local_project_root>/00_metadata/verified_metadata/splited/GSE262515_design; <local_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design	10	10	TRUE	scored_in_current_transfer_eval	Scored rows are represented by GSE262515_cell_line and GSE262515_tissue.
GSE264344	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design	36	36	TRUE	scored_in_current_transfer_eval	NA
GSE279372	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design	6	6	TRUE	scored_in_current_transfer_eval	NA
GSE279743	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279743/GSE279743_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279743/GSE279743_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE279743_design	2	2	TRUE	scored_in_current_transfer_eval	NA
GSE279744	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279744/GSE279744_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279744/GSE279744_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE279744_design	2	2	TRUE	scored_in_current_transfer_eval	NA
GSE314070	<local_project_root>/00_metadata/verified_metadata/scoring/GSE314070/GSE314070_design.tsv	<local_project_root>/00_metadata/verified_metadata/scoring/GSE314070/GSE314070_design.tsv	<local_project_root>/00_metadata/verified_metadata/splited/GSE314070_design	2	2	TRUE	scored_in_current_transfer_eval	NA
