issue_id	issue_type	file	dataset_id	field	issue_description	severity	recommended_action	notes
MCW00001	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE167521	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 1 role-table rows.
MCW00002	dataset_role_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE264344	allowed_role_label	Multiple role labels detected: Locked anchor; Extended validation	medium	Confirm role assignment and document rationale in manual curation materials.	Role assignment summarized across 36 role-table rows.
MCW00003	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE279372	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 6 role-table rows.
MCW00004	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE279744	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 2 role-table rows.
MCW00005	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE39129	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 1 role-table rows.
MCW00006	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE119119	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 6 role-table rows.
MCW00007	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE139529	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 6 role-table rows.
MCW00008	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE279743	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 2 role-table rows.
MCW00009	dataset_role_provenance_review	<local_project_root>\audit\results\manuscript_dataset_role_table.tsv	GSE178313	allowed_role_label	Role label has no apparent ambiguity, but publication/source provenance is incomplete in at least one role-table row.	low	Confirm missing PMID/DOI/source provenance if available; role label itself does not appear ambiguous.	Role assignment summarized across 1 role-table rows.
MCW00010	missing_tissue	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	GSE237068	tissue	Missing tissue annotation for split GSE237068_metadata_only.	medium	Review source metadata/publication and update verified metadata if needed.	NA
MCW00011	missing_timepoint	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	GSE237068	timepoint_h	Missing timepoint annotation for split GSE237068_metadata_only.	medium	Review source metadata/publication and update verified metadata if needed.	NA
MCW00012	ambiguous_treatment_control_label	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	GSE237068	treatment/control	Missing treatment/control label for split GSE237068_metadata_only.	high	Resolve treatment/control labels before rerunning analyses.	NA
MCW00013	manual_caption_update_needed	Manuscript caption source or assembled PowerPoint/Word caption block outside revised_plots_v6	Figure 1	caption	Manual caption/subtitle placement required for Figure 1.	medium	Apply the revised caption in the manuscript/assembled figure source and keep this audit record.	manual update needed in manuscript/assembly source
MCW00014	manual_caption_update_needed	Manuscript caption source or assembled PowerPoint/Word caption block outside revised_plots_v6	Figure 2	caption	Manual caption/subtitle placement required for Figure 2.	medium	Apply the revised caption in the manuscript/assembled figure source and keep this audit record.	manual update needed in manuscript/assembly source
MCW00015	manual_caption_update_needed	Manuscript caption source or assembled PowerPoint/Word caption block outside revised_plots_v6	Figure 3	caption	Manual caption/subtitle placement required for Figure 3.	medium	Apply the revised caption in the manuscript/assembled figure source and keep this audit record.	manual update needed in manuscript/assembly source
MCW00016	manual_caption_update_needed	Manuscript caption source or assembled PowerPoint/Word caption block outside revised_plots_v6	Figure 4	caption	Manual caption/subtitle placement required for Figure 4.	medium	Apply the revised caption in the manuscript/assembled figure source and keep this audit record.	manual update needed in manuscript/assembly source
MCW00017	manual_caption_update_needed	Manuscript caption source or assembled PowerPoint/Word caption block outside revised_plots_v6	Figure 5	caption	Manual caption/subtitle placement required for Figure 5.	medium	Apply the revised caption in the manuscript/assembled figure source and keep this audit record.	manual update needed in manuscript/assembly source
MCW00018	manual_caption_update_needed	Manuscript caption source or assembled PowerPoint/Word caption block outside revised_plots_v6	Supplementary Figure S1	caption	Manual caption/subtitle placement required for Supplementary Figure S1.	medium	Apply the revised caption in the manuscript/assembled figure source and keep this audit record.	manual update needed in manuscript/assembly source
MCW00019	manual_caption_update_needed	<original_manuscript_output_folder>\Priority3_gene_program_enrichment\FigureS2_caption_candidate.txt	Supplementary Figure S2	caption candidate	Manual caption/subtitle placement required for Supplementary Figure S2.	medium	Apply the revised caption in the manuscript/assembled figure source and keep this audit record.	caption candidate available for manuscript insertion
MCW00020	caption_source_unavailable	<original_manuscript_output_folder>	all figures	PowerPoint/Word caption source	No PowerPoint or Word caption source was found during the current v6 search.	low	If captions are stored outside v6, add their location to the audit before submission.	No document source modified.

