dataset_id	sample_or_group_id	raw_label	cleaned_label	condition_simple	delivery_or_control	label_assignment_basis	evidence_source	needs_review_yes_no	notes
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver::treatment	WT_virus_plus_rh9C12_H433A_whole_liver	WT virus plus rh9C12 H433A whole liver	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver::control	WT_uninfected_whole_liver	WT uninfected whole liver	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00069418__VS=WT_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver::treatment	TRIM21_KO_virus_plus_rh9C12_WT_whole_liver	TRIM21 KO virus plus rh9C12 WT whole liver	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver::control	TRIM21_KO_uninfected_whole_liver	TRIM21 KO uninfected whole liver	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00088542__VS=TRIM21_KO_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver::treatment	TRIM21_KO_virus_plus_rh9C12_H433A_whole_liver	TRIM21 KO virus plus rh9C12 H433A whole liver	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver::control	TRIM21_KO_uninfected_whole_liver	TRIM21 KO uninfected whole liver	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=GID00096342__VS=TRIM21_KO_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver::treatment	TRIM21_KO_virus_only_whole_liver	TRIM21 KO virus only whole liver	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver::control	TRIM21_KO_uninfected_whole_liver	TRIM21 KO uninfected whole liver	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=TRIM21_KO_virus_only_whole_liver__VS=TRIM21_KO_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver::treatment	WT_virus_only_whole_liver	WT virus only whole liver	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver::control	WT_uninfected_whole_liver	WT uninfected whole liver	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_only_whole_liver__VS=WT_uninfected_whole_liver
GSE119119	GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver::treatment	WT_virus_plus_rh9C12_WT_whole_liver	WT virus plus rh9C12 WT whole liver	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE119119_design__T=whole_liver__H=4__B=NA__G=WT_virus_plus_rh9C12_WT_whole_liver__VS=WT_uninfected_whole_liver
