dataset_id	has_verified_metadata	has_anchor_phase_de	n_anchor_phase_de_files	has_calibration_phase_de	n_calibration_phase_de_files	used_in_step06A_core_construction	n_step06A_contrasts	used_in_step06B_heterogeneity	n_step06B_contrasts	used_in_final_frozen_weights	manuscript_role	strict_platform_anchor	discovery_support_role	validation_role	final_display_group	notes
GSE39129	TRUE	TRUE	3	FALSE	0	TRUE	2	TRUE	1	TRUE	anchor	TRUE	locked anchor	locked anchor	Locked anchor	present in Step 06A and Step 06B; production locked anchor row for the acute 4 h lentiviral-vector liver context.
GSE167521	TRUE	TRUE	3	FALSE	0	TRUE	2	TRUE	1	TRUE	anchor	TRUE	locked anchor	locked anchor	Locked anchor	present in Step 06A and Step 06B; production locked anchor row for the acute LNP skin context.
GSE264344	TRUE	TRUE	61	TRUE	13	TRUE	60	TRUE	30	TRUE	anchor; extended_validation_by_row	TRUE	locked anchor	1-24 h rows are Locked anchor; 72 h rows are Extended validation	Locked anchor / Extended validation by row	present in Step 06A and Step 06B; 1-24 h rows are production locked anchor rows, while 72 h rows are extended validation/kinetic context.
GSE279372	TRUE	TRUE	13	FALSE	0	TRUE	12	TRUE	6	TRUE	anchor	FALSE	locked anchor	locked anchor	Locked anchor	present in Step 06A and Step 06B; acute rows are part of the five-dataset production locked anchor set.
GSE279744	TRUE	TRUE	5	FALSE	0	TRUE	4	TRUE	2	TRUE	anchor	FALSE	locked anchor	locked anchor	Locked anchor	present in Step 06A and Step 06B; acute LNP-formulation rows are part of the five-dataset production locked anchor set.
GSE119119	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	primary_acute_validation	FALSE	not used in frozen discovery model	Primary acute validation	Primary acute validation	Primary acute validation with perturbation context.
GSE139529	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	primary_acute_validation	FALSE	not used in frozen discovery model	Primary acute validation	Primary acute validation	Primary acute validation.
GSE166655	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	extended_validation	FALSE	not used in frozen discovery model	Extended validation	Extended validation	Extended validation only, not primary acute validation.
GSE178313	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	extended_validation	FALSE	not used in frozen discovery model	Extended validation	Extended validation	Extended validation, not primary acute validation.
GSE190850_HUMAN	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	Excluded/unclear	FALSE	not used in frozen discovery model	Excluded/unclear	Excluded/unclear	Metadata-only / possible future human validation.
GSE237068	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	Excluded/unclear	FALSE	not used in frozen discovery model	Excluded/unclear	Excluded/unclear	Metadata-audited but likely non-primary or excluded/contextual.
GSE262515	TRUE	FALSE	0	TRUE	11	FALSE	0	FALSE	0	FALSE	secondary_support_by_scored_subfolder	FALSE	not used in frozen discovery model	secondary support / weak-context audit	Secondary support	not present in Step 06A; cell-line and tissue scored contexts remain secondary support, not locked anchor.
GSE262515_cell_line	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	secondary_support	FALSE	not used in frozen discovery model	Secondary support	Secondary support	absent from Step 06A production discovery counts; retained as secondary support / weak-context audit.
GSE262515_tissue	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	secondary_support	FALSE	not used in frozen discovery model	Secondary support	Secondary support	absent from Step 06A production discovery counts; retained as secondary support / weak-context audit.
GSE279743	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	primary_acute_validation	FALSE	not used in frozen discovery model	Primary acute validation	Primary acute validation	Primary acute validation.
GSE314070	TRUE	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	extended_validation	FALSE	not used in frozen discovery model	Extended validation	Extended validation	Extended validation or supplement.
