"check_item"	"status"	"public_blocker_yes_no"	"recommended_action"	"notes"
"README.md exists"	"pass"	"no"	"Create README.md if missing."	""
"run_all_manuscript_outputs_v6.R exists"	"pass"	"no"	"Restore runner if missing."	""
"config/config_template.yml exists"	"pass"	"no"	"Restore config template if missing."	""
"config/config.yml is absent or ignored"	"pass_ignored_local_file"	"no"	"Do not commit config/config.yml."	"Local test config left in place and ignored."
"CITATION.cff exists"	"pass"	"no"	"Create CITATION.cff."	"Contains placeholder-safe metadata requiring final updates."
"LICENSE exists or license decision warning exists"	"pass_decision_documented"	"yes"	"Choose a real license before public release."	"LICENSE decision remains pending by design; do not choose silently."
".gitignore exists and covers local config/logs"	"pass"	"no"	"Add missing ignore patterns."	"All required ignore patterns present."
"renv.lock exists or RENv_LOCKFILE_NEEDED.md exists"	"pass_renv_lock"	"no"	"Create renv.lock or RENv_LOCKFILE_NEEDED.md."	"renv.lock was created without running analysis."
"scripts/active_manuscript exists"	"pass"	"no"	"Restore active scripts folder."	""
"scripts/archive_legacy absent"	"pass"	"no"	"Do not include archive_legacy in GitHub clean repo."	""
"data/derived Level 1 inputs exist"	"pass"	"no"	"Stage missing Level 1 inputs."	"All Level 1 inputs present."
"data/curated_metadata exists"	"pass"	"no"	"Restore curated metadata folder."	""
"data/split_designs exists"	"pass"	"no"	"Restore split design folder."	""
"docs/reproducibility exists"	"pass"	"no"	"Restore reproducibility docs folder."	""
"REVIEWER_REPRODUCTION_STATUS.md exists"	"pass"	"no"	"Restore reviewer status doc."	""
"no obvious public-facing unredacted local paths remain in docs"	"pass"	"no"	"Sanitize public-facing docs."	"No public doc local path blockers detected."
"remaining placeholders are listed"	"pass_listed"	"yes"	"Resolve placeholders before public release."	"58 placeholder/license/reviewer metadata blockers listed in final_public_sanitization_audit.tsv."
"no analysis scripts were run"	"pass"	"no"	"No action needed."	"This administrative cleanup did not run the manuscript runner, full_pipeline, hpc_hypergator, archive_legacy, raw-data reconstruction, frozen-gene reconstruction, figure generation, enrichment, or supplementary table generation."
