"file"	"detected_text_or_pattern"	"context"	"category"	"public_blocker_yes_no"	"recommended_action"	"fixed_yes_no"	"notes"
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\CITATION.cff"	"TO_BE_ADDED_GITHUB_REPOSITORY_URL"	"repository-code: ""TO_BE_ADDED_GITHUB_REPOSITORY_URL"""	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\CITATION.cff"	"TO_BE_ADDED"	"repository-code: ""TO_BE_ADDED_GITHUB_REPOSITORY_URL"""	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\CITATION.cff"	"TO_BE_DECIDED"	"license: ""TO_BE_DECIDED"""	"placeholder_license"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\citation_metadata_status.txt"	"TO_BE_ADDED_GITHUB_REPOSITORY_URL"	"- repository-code: replace TO_BE_ADDED_GITHUB_REPOSITORY_URL with the final GitHub URL."	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\citation_metadata_status.txt"	"TO_BE_ADDED"	"- repository-code: replace TO_BE_ADDED_GITHUB_REPOSITORY_URL with the final GitHub URL."	"placeholder_url"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\citation_metadata_status.txt"	"TO_BE_DECIDED"	"- license: replace TO_BE_DECIDED after PI/institution/project approval."	"placeholder_license"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\citation_metadata_status.txt"	"PLACEHOLDER"	"The legacy CITATION_PLACEHOLDER.cff has been copied to docs/reproducibility/placeholder_archive for traceability."	"other"	"yes"	"Review placeholder before final public release."	"no"	"Generic placeholder detected."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\citation_metadata_status.txt"	"CITATION_PLACEHOLDER"	"The legacy CITATION_PLACEHOLDER.cff has been copied to docs/reproducibility/placeholder_archive for traceability."	"other"	"yes"	"Review placeholder before final public release."	"no"	"Generic placeholder detected."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\FINAL_PRE_GITHUB_SUMMARY.md"	"PLACEHOLDER"	"- Choose a real license and replace `LICENSE_PLACEHOLDER.txt` with `LICENSE` after approval."	"other"	"yes"	"Review placeholder before final public release."	"no"	"Generic placeholder detected."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\FINAL_PRE_GITHUB_SUMMARY.md"	"reviewer-access"	"- Replace GitHub URL, reviewer-access, and Zenodo DOI placeholders in availability documents and generated candidate statements."	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
