file_path	role	created_from_scratch	copied_from_original	original_source_path	copied_from_repo_provenance	repo_provenance_source_path	path_only_modifications	algorithmic_logic_modified	algorithmic_logic_new	should_replace_with_original_port	notes
scripts/portable_full_pipeline/original_ported/01_designs/02_adding_control_to_design.R	current_core_design_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/02_adding_control_to_design.R	YES	scripts/full_pipeline/provenance_legacy/02_adding_control_to_design.R	YES	NO	NO	NO	Copied from original source; metadata/scoring output roots parameterized.
scripts/portable_full_pipeline/original_ported/01_designs/03_Final_design_file_autogroup.R	current_core_split_design_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/03_Final_design_file_autogroup.R	YES	scripts/full_pipeline/provenance_legacy/03_Final_design_file_autogroup.R	YES	NO	NO	NO	Copied from original source; metadata/split output roots parameterized.
scripts/portable_full_pipeline/original_ported/02_deseq2_contrasts/05_DEseq_contrast_delivery_control.R	current_core_deseq2_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/05_DEseq_contrast_delivery_control.R	YES	scripts/full_pipeline/provenance_legacy/05_DEseq_contrast_delivery_control.R	YES	NO	NO	NO	Copied from original source; input and output path roots parameterized; DESeq2 calculation retained.
scripts/portable_full_pipeline/original_ported/03_modeling/06A_core_gene_set.R	current_core_support_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06A_core_gene_set.R	YES	scripts/full_pipeline/provenance_legacy/06A_core_gene_set.R	NO	NO	NO	NO	Path parameterized; original minimum-anchor and retained-gene logic restored; writes already-computed support_by_dataset for packaging without changing selection.
scripts/portable_full_pipeline/original_ported/03_modeling/06B_gene_heterogeneity.R	current_core_heterogeneity_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06B_gene_heterogeneity.R	YES	scripts/full_pipeline/provenance_legacy/06B_gene_heterogeneity.R	YES	NO	NO	NO	Path parameterized; original minimum-anchor stop and heterogeneity computation retained.
scripts/portable_full_pipeline/original_ported/03_modeling/06C_Power_analysis.R	current_core_power_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/06C_Power_analysis.R	YES	scripts/full_pipeline/provenance_legacy/06C_Power_analysis.R	YES	NO	NO	NO	Copied from original source; output root parameterized only.
scripts/portable_full_pipeline/original_ported/03_modeling/07_weight_estimation.R	current_core_weight_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/07_weight_estimation.R	YES	scripts/full_pipeline/provenance_legacy/07_weight_estimation.R	YES	NO	NO	NO	Copied from original source; output root parameterized only.
scripts/portable_full_pipeline/original_ported/04_scoring/08_score_samples.R	current_core_scoring_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/08_score_samples.R	YES	scripts/full_pipeline/provenance_legacy/08_score_samples.R	YES	NO	NO	NO	Path parameterized only; runner stages configured input roots outside Step08 so original scoring traversal and formulas are retained.
scripts/portable_full_pipeline/original_ported/05_evaluation/09_calibration_evaluation.R	current_core_evaluation_port	NO	YES	D:/IMRS_Project/Hypergator_scripts/InnateImmuneResponseScore/R/modeling/09_calibration_evaluation.R	YES	scripts/full_pipeline/provenance_legacy/09_calibration_evaluation.R	YES	NO	NO	NO	Copied from original source; output and split-design roots parameterized; Step09 calculations retained.
scripts/portable_full_pipeline/lib/portable_pipeline_utils.R	new_portable_support_library	YES	NO	NA	NO	NA	NO	NO	NO	NO	Config/path resolution and preflight-only metadata/count validation utilities; not the executed core modeling implementation.
